generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,296.1,49.73400000000001,31.0,0.11,0.11
1,296.1,55.09400000000001,31.0,0.13,0.24
2,508.8,89.67399999999999,31.0,0.15,0.39
3,626.0,114.41000000000003,31.0,0.17,0.56
4,626.0,87.10999999999999,31.0,0.15,0.71
5,626.0,78.88599999999998,31.0,0.14,0.85
6,626.0,106.79215686274509,31.0,0.17,1.02
7,626.0,132.85490196078433,31.0,0.18,1.20
8,1893.4,148.79799999999997,31.0,0.17,1.37
9,1893.4,189.898,31.0,0.17,1.54
10,1893.4,172.24901960784314,31.0,0.19,1.73
11,2107.5,229.38800000000003,31.0,0.19,1.92
12,2107.5,223.96199999999996,31.0,0.19,2.11
13,2628.9,277.4509803921569,31.0,0.21,2.32
14,2628.9,192.25490196078428,31.0,0.16,2.48
15,2628.9,218.40599999999998,31.0,0.19,2.67
16,2628.9,214.15599999999998,31.0,0.18,2.85
17,2628.9,229.44901960784313,31.0,0.18,3.04
18,2628.9,209.2313725490196,31.0,0.19,3.23
19,2628.9,206.15098039215684,31.0,0.19,3.42
20,2628.9,240.39607843137256,31.0,0.21,3.63
21,2628.9,257.548,31.0,0.19,3.82
22,2628.9,221.11200000000005,31.0,0.18,4.00
23,2628.9,257.46862745098036,31.0,0.20,4.20
24,2628.9,294.038,31.0,0.21,4.42
25,8584.5,408.1098039215686,31.0,0.23,4.65
26,8584.5,368.024,31.0,0.22,4.87
27,8584.5,453.8816326530612,31.0,0.23,5.10
28,8584.5,526.5120000000002,31.0,0.26,5.36
29,9007.2,1013.0274509803921,31.0,0.36,5.72
30,12717.4,1727.5559999999998,31.0,0.47,6.19
31,12717.4,1456.2078431372554,31.0,0.42,6.61
32,12718.3,1990.4019607843143,31.0,0.53,7.14
33,12718.3,1076.6372549019607,31.0,0.35,7.49
34,12718.3,999.7196078431376,31.0,0.33,7.82
35,12718.3,1675.870588235294,31.0,0.47,8.29
36,12718.3,1554.5705882352947,31.0,0.44,8.73
37,12718.3,2180.628,31.0,0.54,9.27
38,12718.3,1840.1399999999996,31.0,0.47,9.75
39,12718.3,1363.0568627450982,31.0,0.39,10.14
40,12718.3,1394.9764705882353,31.0,0.39,10.53
41,12718.3,2211.329411764706,31.0,0.58,11.11
42,12718.3,1801.441176470588,31.0,0.49,11.59
43,12718.3,1674.4901960784316,31.0,0.46,12.05
44,12718.3,1361.080392156863,31.0,0.40,12.45
45,13567.4,2376.868,31.0,0.57,13.02
46,13567.4,1896.6719999999998,31.0,0.49,13.51
47,13567.4,2197.3901960784306,31.0,0.56,14.08
48,13567.4,2242.754,31.0,0.56,14.64
49,13567.4,2614.4239999999995,31.0,0.61,15.25
