generation,best_fitness,avg_fitness,min_fitness
0,0,0.0,0
1,0,0.0,0
2,1,0.02,0
3,19,0.42,0
4,52,1.06,0
5,31,0.6078431372549019,0
6,21,0.42,0
7,7,0.21153846153846154,0
8,20,0.45098039215686275,0
9,5,0.24,0
10,17,0.4,0
11,6,0.2549019607843137,0
12,9,0.18,0
13,28,0.5490196078431373,0
14,26,0.5576923076923077,0
15,6,0.17307692307692307,0
16,4,0.07692307692307693,0
17,11,0.21153846153846154,0
18,1,0.05454545454545454,0
19,1,0.037037037037037035,0
20,3,0.1320754716981132,0
21,23,0.5,0
22,13,0.2727272727272727,0
23,21,0.42592592592592593,0
24,29,0.5714285714285714,0
25,7,0.14814814814814814,0
26,1,0.037037037037037035,0
27,1,0.02127659574468085,0
28,33,0.6346153846153846,0
29,4,0.09259259259259259,0
30,26,0.5660377358490566,0
31,26,0.5925925925925926,0
32,6,0.37037037037037035,0
33,46,0.9811320754716981,0
34,33,0.6181818181818182,0
35,5,0.2,0
36,81,1.5925925925925926,0
37,35,1.1818181818181819,0
38,81,2.962962962962963,0
39,81,1.9107142857142858,0
40,68,1.4464285714285714,0
41,20,0.6,0
