generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,84.7,36.996,31.0,0.11,0.11
1,721.6,71.46400000000001,31.0,0.14,0.24
2,721.6,99.98199999999999,31.0,0.14,0.38
3,721.6,105.03399999999999,31.0,0.15,0.53
4,721.6,101.92,31.0,0.14,0.67
5,721.6,79.23400000000001,31.0,0.13,0.80
6,721.6,93.88999999999999,31.0,0.17,0.97
7,721.6,101.794,31.0,0.16,1.12
8,721.6,112.59200000000001,31.0,0.16,1.28
9,936.8,119.05799999999999,31.0,0.15,1.43
10,2110.8,131.51176470588234,31.0,0.16,1.59
11,2110.8,140.71764705882356,31.0,0.16,1.75
12,2110.8,190.89803921568628,31.0,0.18,1.93
13,2110.8,165.75600000000003,31.0,0.16,2.09
14,2110.8,159.74705882352944,31.0,0.18,2.27
15,2110.8,203.7627450980392,31.0,0.20,2.48
16,2110.8,166.35882352941178,31.0,0.17,2.64
17,2110.8,174.7666666666667,31.0,0.16,2.81
18,2110.8,172.0117647058824,31.0,0.15,2.95
19,2110.8,180.63725490196083,31.0,0.18,3.13
20,2110.8,187.31176470588235,31.0,0.17,3.31
21,2110.8,166.40784313725493,31.0,0.16,3.46
22,2110.8,165.34509803921569,31.0,0.15,3.62
23,2110.8,174.194,31.0,0.15,3.77
24,2110.8,183.774,31.0,0.16,3.93
25,2110.8,160.81399999999996,31.0,0.16,4.09
26,2110.8,172.658,31.0,0.17,4.27
27,2110.8,198.122,31.0,0.16,4.43
28,2110.8,177.57799999999995,31.0,0.17,4.60
29,2110.8,195.16000000000008,31.0,0.18,4.78
30,2110.8,190.70399999999998,31.0,0.17,4.94
31,2110.8,266.076,31.0,0.20,5.14
32,2110.8,238.53599999999994,31.0,0.18,5.32
33,2110.8,248.34599999999998,31.0,0.19,5.52
34,2110.8,220.34600000000003,31.0,0.17,5.69
35,2110.8,246.892,31.0,0.19,5.88
36,2110.8,209.61,31.0,0.19,6.07
37,2110.8,186.474,31.0,0.18,6.25
38,2218.5,237.454,31.0,0.17,6.43
39,2218.5,214.882,31.0,0.20,6.63
40,2218.5,223.03799999999998,31.0,0.18,6.80
41,2218.5,280.9680000000001,31.0,0.21,7.01
42,2218.5,192.644,31.0,0.17,7.19
43,2218.5,256.47,31.0,0.19,7.38
44,2218.5,183.36000000000004,31.0,0.15,7.52
45,2426.0,236.45999999999992,31.0,0.17,7.69
46,3583.8,388.902,31.0,0.20,7.89
47,19612.2,984.65,31.0,0.31,8.20
48,19612.2,1264.016,31.0,0.35,8.55
49,19612.2,1371.1059999999998,31.0,0.36,8.91
