generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,92.2,42.19000000000001,31.0,0.10,0.10
1,152.1,57.205999999999996,31.0,0.14,0.24
2,189.7,62.237999999999985,31.0,0.14,0.38
3,613.9,96.752,31.0,0.17,0.55
4,613.9,84.604,31.0,0.14,0.70
5,620.5,110.31800000000001,31.0,0.16,0.85
6,620.5,110.11200000000002,31.0,0.15,1.01
7,620.5,103.12400000000001,31.0,0.15,1.16
8,4231.1,190.40600000000003,31.0,0.17,1.33
9,4231.1,341.908,31.0,0.18,1.51
10,4231.1,246.51176470588237,31.0,0.20,1.71
11,8902.4,452.4519230769231,31.0,0.22,1.93
12,8902.4,608.9098039215685,31.0,0.24,2.17
13,8902.4,626.9115384615384,31.0,0.23,2.40
14,8902.4,617.5529411764707,31.0,0.24,2.64
15,8902.4,685.8653846153846,31.0,0.26,2.90
16,8902.4,712.2415094339622,31.0,0.26,3.16
17,8902.4,600.2384615384616,31.0,0.24,3.40
18,8902.4,423.7830188679245,31.0,0.21,3.61
19,8902.4,431.525,31.0,0.21,3.82
20,8902.4,739.1150943396225,31.0,0.27,4.09
21,9110.7,938.2999999999998,31.0,0.31,4.40
22,9110.7,547.5735849056604,31.0,0.25,4.65
23,9110.7,684.0905660377358,31.0,0.27,4.92
24,9110.7,601.8245283018869,31.0,0.25,5.17
25,9428.1,804.8529411764706,31.0,0.28,5.45
26,9428.1,645.850980392157,31.0,0.25,5.71
27,9641.6,958.2607843137251,31.0,0.31,6.02
28,12717.4,906.5450980392158,31.0,0.29,6.30
29,12717.4,582.9699999999999,31.0,0.24,6.54
30,12717.4,926.8239999999998,31.0,0.31,6.84
31,12718.3,987.2392156862743,31.0,0.31,7.16
32,12718.3,1349.6666666666667,31.0,0.36,7.52
33,12718.3,785.9,31.0,0.27,7.79
34,12718.3,726.2647058823528,31.0,0.27,8.06
35,12718.3,872.0039215686274,31.0,0.30,8.36
36,12718.3,1058.0470588235294,31.0,0.34,8.71
37,12718.3,838.403846153846,31.0,0.29,9.00
38,12718.3,862.2326923076923,31.0,0.31,9.31
39,12718.3,929.5843137254901,31.0,0.30,9.61
40,12718.3,1201.4803921568628,31.0,0.36,9.97
41,12718.3,1062.3549019607844,31.0,0.33,10.30
42,12718.3,1541.0215686274507,31.0,0.42,10.72
43,12718.3,1452.6192307692306,31.0,0.41,11.13
44,12718.3,1364.767307692308,31.0,0.43,11.55
45,12718.3,1564.7359999999999,31.0,0.41,11.97
46,12718.3,1282.8901960784315,31.0,0.38,12.35
47,12718.3,1754.2692307692305,31.0,0.46,12.81
48,12718.3,1276.3921568627452,31.0,0.38,13.19
49,12718.3,1377.1754716981136,31.0,0.42,13.61
