generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,81.3,38.978,31.0,0.11,0.11
1,619.6,63.41400000000001,31.0,0.13,0.24
2,619.6,67.87200000000001,31.0,0.15,0.39
3,1045.9,110.262,31.0,0.16,0.55
4,1045.9,110.26,31.0,0.16,0.71
5,1045.9,89.24600000000001,31.0,0.15,0.87
6,1045.9,106.55686274509804,31.0,0.17,1.04
7,1045.9,88.78399999999999,31.0,0.15,1.19
8,1045.9,112.77254901960782,31.0,0.18,1.37
9,1045.9,119.48000000000002,31.0,0.18,1.55
10,1045.9,127.94313725490198,31.0,0.17,1.72
11,1045.9,116.82352941176471,31.0,0.17,1.89
12,6563.0,265.45490196078424,31.0,0.23,2.12
13,6678.2,510.57254901960783,31.0,0.29,2.41
14,6678.2,447.15686274509795,31.0,0.29,2.70
15,6678.2,449.86538461538476,31.0,0.31,3.00
16,6678.2,467.4156862745098,31.0,0.30,3.30
17,6678.2,542.951923076923,31.0,0.30,3.61
18,11021.2,1015.4000000000002,31.0,0.45,4.06
19,11021.2,867.2960784313726,31.0,0.35,4.41
20,11021.2,914.8615384615385,31.0,0.37,4.78
21,11021.2,781.280769230769,31.0,0.42,5.20
22,11021.2,778.0509803921569,31.0,0.33,5.53
23,11021.2,813.0686274509807,31.0,0.33,5.86
24,11021.2,1062.4784313725493,31.0,0.38,6.24
25,12506.2,1409.7879999999998,31.0,0.42,6.66
26,12506.2,1621.1607843137253,31.0,0.50,7.16
27,12506.2,1174.6999999999998,31.0,0.42,7.57
28,17703.2,1500.9884615384617,31.0,0.46,8.04
29,17703.2,1537.2384615384617,31.0,0.46,8.50
30,17703.2,1550.1942307692302,31.0,0.48,8.98
31,17703.2,1733.2058823529405,31.0,0.51,9.48
32,17703.2,1980.3607843137256,31.0,0.61,10.10
33,17703.2,2018.543137254902,31.0,0.59,10.69
34,17703.2,1710.3862745098033,31.0,0.52,11.21
35,17703.2,2137.72,31.0,0.60,11.81
36,17703.2,1833.9919999999997,31.0,0.51,12.32
37,17703.2,1876.8919999999991,31.0,0.55,12.86
38,17703.2,1661.4843137254902,31.0,0.51,13.37
39,17703.2,2204.849019607843,31.0,0.62,13.99
40,17703.2,1978.7499999999998,31.0,0.58,14.58
41,17703.2,1653.2392156862745,31.0,0.56,15.14
42,17703.2,1818.535294117647,31.0,0.54,15.67
43,17703.2,2076.3313725490193,31.0,0.64,16.31
44,17703.2,2306.619607843137,31.0,0.68,16.99
45,17703.2,2026.2588235294115,31.0,0.63,17.62
46,17703.2,2309.5450980392156,31.0,0.65,18.26
47,17703.2,2265.9764705882358,31.0,0.64,18.90
48,17703.2,2647.7529411764704,31.0,0.70,19.61
49,17703.2,2972.5313725490196,31.0,0.76,20.36
