generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,188.1,43.77799999999999,31.0,0.11,0.11
1,719.6,75.57799999999999,31.0,0.14,0.25
2,719.6,87.854,31.0,0.16,0.41
3,719.6,110.00399999999999,31.0,0.18,0.59
4,719.6,114.838,31.0,0.17,0.75
5,719.6,116.47400000000002,31.0,0.20,0.95
6,832.4,112.112,31.0,0.18,1.12
7,1257.0,154.85400000000004,31.0,0.20,1.32
8,1257.0,161.89400000000003,31.0,0.19,1.52
9,1257.0,166.61599999999999,31.0,0.22,1.73
10,1257.0,146.32653061224485,31.0,0.19,1.92
11,1257.0,173.04400000000004,31.0,0.23,2.15
12,2527.9,242.234,31.0,0.23,2.38
13,2527.9,256.9220000000001,31.0,0.24,2.62
14,2527.9,233.61568627450976,31.0,0.23,2.85
15,2527.9,232.6469387755102,31.0,0.23,3.08
16,2527.9,203.7509803921569,31.0,0.22,3.30
17,2527.9,190.12941176470588,31.0,0.21,3.51
18,2527.9,213.36078431372547,31.0,0.22,3.73
19,2527.9,225.31960784313728,31.0,0.23,3.96
20,2527.9,258.03673469387763,31.0,0.24,4.20
21,2527.9,240.9142857142857,31.0,0.24,4.44
22,2527.9,226.19215686274515,31.0,0.24,4.68
23,2527.9,258.6897959183674,31.0,0.23,4.91
24,2527.9,242.09999999999997,31.0,0.25,5.16
25,2527.9,228.75490196078434,31.0,0.23,5.38
26,2527.9,237.70392156862744,31.0,0.23,5.62
27,2527.9,262.99583333333334,31.0,0.24,5.86
28,2527.9,242.53877551020403,31.0,0.22,6.08
29,2527.9,256.68775510204074,31.0,0.23,6.31
30,2527.9,220.48599999999996,31.0,0.24,6.55
31,2527.9,223.95,31.0,0.23,6.78
32,2527.9,235.65600000000003,31.0,0.24,7.02
33,2527.9,255.97,31.0,0.25,7.27
34,2527.9,224.46599999999995,31.0,0.24,7.50
35,2527.9,195.13399999999993,31.0,0.23,7.74
36,2527.9,210.44400000000007,31.0,0.23,7.97
37,2527.9,216.81568627450977,31.0,0.24,8.20
38,2527.9,221.44200000000004,31.0,0.25,8.45
39,2527.9,214.30204081632652,31.0,0.23,8.68
40,2527.9,230.15399999999997,31.0,0.24,8.92
41,2527.9,217.94799999999998,31.0,0.23,9.16
42,2527.9,237.7882352941176,31.0,0.24,9.39
43,2527.9,219.922,31.0,0.22,9.62
44,2527.9,231.84,31.0,0.24,9.85
45,2527.9,220.96326530612242,31.0,0.21,10.07
46,2527.9,254.5326530612245,31.0,0.26,10.33
47,2527.9,224.824,31.0,0.24,10.56
48,2527.9,247.5408163265306,31.0,0.25,10.81
49,2527.9,240.0510204081633,31.0,0.24,11.05
