generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,293.2,44.17799999999999,31.0,0.31,0.31
1,293.2,45.412,31.0,0.31,0.62
2,293.2,49.08599999999999,31.0,0.33,0.95
3,403.4,56.328,31.0,0.32,1.27
4,403.4,53.76800000000002,31.0,0.33,1.61
5,511.9,63.09399999999999,31.0,0.34,1.95
6,511.9,58.76600000000001,31.0,0.33,2.28
7,511.9,65.82600000000002,31.0,0.37,2.65
8,511.9,58.582,31.0,0.33,2.99
9,511.9,65.31,31.0,0.35,3.34
10,511.9,59.937999999999995,31.0,0.34,3.68
11,511.9,59.893999999999984,31.0,0.34,4.02
12,511.9,59.166,31.0,0.32,4.34
13,511.9,54.63,31.0,0.32,4.66
14,511.9,73.292,31.0,0.38,5.04
15,511.9,77.964,31.0,0.39,5.44
16,511.9,58.63999999999998,31.0,0.33,5.77
17,511.9,65.08,31.0,0.36,6.13
18,511.9,64.38199999999999,31.0,0.37,6.50
19,511.9,63.48400000000001,31.0,0.37,6.88
20,511.9,59.50000000000001,31.0,0.34,7.21
21,511.9,60.26999999999999,31.0,0.35,7.57
22,511.9,62.295999999999985,31.0,0.35,7.92
23,511.9,62.97000000000002,31.0,0.36,8.29
24,708.8,78.84400000000001,31.0,0.36,8.65
25,827.2,99.40800000000002,31.0,0.41,9.06
26,827.2,68.506,31.0,0.34,9.40
27,827.2,71.34600000000002,31.0,0.34,9.74
28,827.2,75.84599999999996,31.0,0.37,10.11
29,827.2,75.808,31.0,0.37,10.48
30,827.2,73.542,31.0,0.37,10.85
31,827.2,95.25599999999999,31.0,0.41,11.25
32,827.2,75.61200000000002,31.0,0.37,11.62
33,827.2,82.83199999999997,31.0,0.36,11.98
34,827.2,88.13200000000002,31.0,0.42,12.40
35,827.2,82.40999999999998,31.0,0.40,12.80
36,827.2,86.07800000000002,31.0,0.40,13.20
37,827.2,93.60999999999996,31.0,0.40,13.60
38,827.2,88.16200000000002,31.0,0.39,13.98
39,827.2,82.45599999999999,31.0,0.38,14.36
40,827.2,77.922,31.0,0.38,14.74
41,827.2,72.16,31.0,0.33,15.07
42,827.2,79.79799999999997,31.0,0.40,15.47
43,827.2,72.09200000000001,31.0,0.35,15.82
44,827.2,74.46599999999998,31.0,0.36,16.18
45,827.2,76.34800000000001,31.0,0.37,16.55
46,827.2,75.75400000000002,31.0,0.38,16.93
47,827.2,80.614,31.0,0.37,17.30
48,1790.4,127.69799999999998,31.0,0.41,17.72
49,1790.4,104.29399999999998,31.0,0.37,18.09
