generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,88.1,39.62,31.0,0.30,0.30
1,510.2,58.547999999999995,31.0,0.35,0.65
2,510.2,58.422,31.0,0.33,0.98
3,510.2,55.552,31.0,0.31,1.29
4,510.2,53.49199999999999,31.0,0.30,1.59
5,510.2,53.008,31.0,0.31,1.90
6,510.2,56.47200000000001,31.0,0.34,2.24
7,510.2,68.80599999999998,31.0,0.34,2.58
8,510.2,63.08199999999998,31.0,0.36,2.94
9,510.2,65.288,31.0,0.38,3.31
10,614.7,83.736,31.0,0.39,3.70
11,614.7,75.67,31.0,0.38,4.08
12,614.7,67.03199999999998,31.0,0.36,4.44
13,614.7,71.84,31.0,0.39,4.83
14,614.7,79.4,31.0,0.39,5.22
15,614.7,70.796,31.0,0.38,5.60
16,1468.4,108.272,31.0,0.44,6.04
17,1468.4,109.65399999999998,31.0,0.45,6.49
18,1468.4,140.422,31.0,0.46,6.95
19,1468.4,111.82800000000002,31.0,0.46,7.41
20,1468.4,108.39000000000001,31.0,0.43,7.84
21,1468.4,122.75,31.0,0.47,8.31
22,1468.4,127.31600000000002,31.0,0.48,8.79
23,1468.4,124.89400000000002,31.0,0.49,9.28
24,1468.4,134.85800000000006,31.0,0.49,9.77
25,1468.4,126.32199999999997,31.0,0.50,10.28
26,1468.4,139.45,31.0,0.53,10.80
27,1468.4,155.04399999999998,31.0,0.57,11.37
28,1468.4,148.64,31.0,0.56,11.93
29,1468.4,159.742,31.0,0.58,12.51
30,1468.4,171.67600000000002,31.0,0.58,13.09
31,1468.4,135.106,31.0,0.54,13.63
32,1468.4,134.29399999999998,31.0,0.52,14.15
33,1468.4,139.12999999999994,31.0,0.53,14.68
34,1468.4,163.382,31.0,0.54,15.22
35,1468.4,166.50400000000002,31.0,0.57,15.79
36,1468.4,164.54800000000003,31.0,0.59,16.38
37,1468.4,166.084,31.0,0.60,16.98
38,1468.4,160.936,31.0,0.56,17.54
39,1468.4,161.51999999999998,31.0,0.57,18.11
40,1468.4,160.16599999999994,31.0,0.59,18.70
41,1468.4,170.032,31.0,0.59,19.29
42,1468.4,151.83599999999998,31.0,0.57,19.87
43,1468.4,167.852,31.0,0.56,20.43
44,1468.4,170.92,31.0,0.57,21.00
45,1471.3,204.47600000000003,31.0,0.60,21.60
46,1471.3,196.78,31.0,0.62,22.22
47,1471.3,157.20999999999998,31.0,0.58,22.80
48,1471.3,155.08800000000002,31.0,0.60,23.40
49,1471.3,184.22400000000002,31.0,0.59,23.99
