generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,82.1,39.412,31.0,0.29,0.29
1,82.1,36.093999999999994,31.0,0.27,0.57
2,87.2,38.57000000000001,31.0,0.29,0.85
3,510.0,55.374,31.0,0.33,1.18
4,510.0,53.56199999999999,31.0,0.32,1.50
5,510.0,51.31400000000001,31.0,0.31,1.81
6,510.0,50.51999999999999,31.0,0.30,2.11
7,510.0,52.51000000000001,31.0,0.31,2.42
8,510.0,60.06399999999999,31.0,0.34,2.77
9,510.0,64.016,31.0,0.36,3.13
10,510.0,58.14000000000001,31.0,0.36,3.48
11,510.0,54.842,31.0,0.33,3.81
12,510.0,57.083999999999996,31.0,0.36,4.17
13,510.0,60.44,31.0,0.35,4.52
14,510.0,54.106,31.0,0.32,4.83
15,510.0,55.98000000000001,31.0,0.32,5.15
16,510.0,62.93799999999997,31.1,0.37,5.52
17,510.0,65.16399999999999,31.0,0.35,5.87
18,510.0,68.336,31.0,0.39,6.26
19,510.0,68.55200000000002,31.0,0.40,6.65
20,510.0,71.80999999999999,31.0,0.39,7.05
21,510.0,69.852,31.0,0.39,7.44
22,510.0,78.19599999999997,31.0,0.41,7.84
23,510.0,77.21600000000002,31.0,0.42,8.26
24,728.1,95.58799999999998,31.0,0.43,8.69
25,728.1,82.64599999999999,31.0,0.44,9.14
26,728.1,79.698,31.0,0.44,9.58
27,728.1,82.72,31.0,0.42,10.00
28,832.9,121.23199999999997,31.0,0.52,10.52
29,832.9,96.926,31.0,0.44,10.96
30,832.9,86.92400000000004,31.0,0.44,11.40
31,832.9,110.09,31.0,0.51,11.91
32,832.9,103.23999999999998,31.0,0.47,12.38
33,832.9,96.82800000000002,31.0,0.45,12.83
34,832.9,110.85599999999997,31.0,0.47,13.30
35,832.9,110.20199999999998,31.0,0.46,13.76
36,832.9,107.23399999999998,31.0,0.46,14.22
37,832.9,122.43799999999999,31.0,0.53,14.76
38,832.9,108.88400000000003,31.0,0.52,15.28
39,1364.4,125.92000000000002,31.0,0.48,15.75
40,1364.4,104.808,31.0,0.49,16.24
41,1364.4,132.03199999999995,31.0,0.51,16.76
42,1364.4,113.59599999999999,31.0,0.47,17.22
43,1364.4,101.60600000000002,31.0,0.47,17.70
44,1364.4,109.26200000000003,31.0,0.47,18.16
45,5708.5,216.11400000000012,31.0,0.51,18.67
46,5708.5,240.62599999999998,31.0,0.54,19.21
47,5708.5,227.10199999999998,31.0,0.56,19.77
48,5708.5,244.03200000000004,32.0,0.57,20.34
49,5708.5,195.528,31.0,0.48,20.82
