generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,172.3,44.86000000000001,31.0,0.29,0.29
1,172.3,43.34399999999999,31.0,0.29,0.58
2,172.3,46.135999999999996,31.0,0.30,0.88
3,306.7,55.325999999999986,31.0,0.34,1.22
4,306.7,57.947999999999986,31.0,0.33,1.55
5,306.7,54.501999999999974,31.0,0.31,1.87
6,306.7,56.265999999999984,31.0,0.32,2.19
7,405.6,62.452,31.0,0.34,2.53
8,516.6,76.33999999999999,31.0,0.37,2.90
9,516.6,81.322,31.0,0.35,3.25
10,516.6,67.19799999999998,31.0,0.33,3.58
11,516.6,66.82600000000001,31.0,0.38,3.96
12,516.6,67.11600000000001,31.0,0.34,4.30
13,929.5,79.90799999999999,31.0,0.34,4.64
14,929.5,90.01599999999999,31.0,0.39,5.02
15,929.5,80.27599999999998,31.0,0.36,5.38
16,929.5,88.01799999999997,31.2,0.37,5.75
17,929.5,80.12600000000002,31.0,0.35,6.10
18,929.5,81.88799999999999,31.0,0.37,6.47
19,929.5,95.17000000000002,31.0,0.37,6.84
20,929.5,83.86800000000001,31.5,0.36,7.20
21,929.5,73.40200000000003,31.0,0.32,7.52
22,929.5,78.388,31.0,0.36,7.88
23,929.5,73.27599999999998,31.0,0.31,8.19
24,929.5,80.014,31.0,0.35,8.54
25,929.5,82.51200000000003,31.0,0.36,8.90
26,929.5,97.95800000000001,31.0,0.38,9.28
27,929.5,100.15199999999997,32.2,0.39,9.67
28,929.5,96.16,31.0,0.38,10.05
29,929.5,83.15399999999998,31.0,0.37,10.42
30,929.5,90.302,31.0,0.38,10.79
31,929.5,105.57000000000004,31.0,0.41,11.20
32,929.5,111.60799999999996,31.0,0.40,11.60
33,929.5,88.542,31.0,0.39,11.99
34,929.5,91.62200000000001,31.0,0.39,12.38
35,929.5,89.266,31.0,0.39,12.77
36,929.5,99.22599999999998,31.0,0.40,13.17
37,929.5,94.61399999999999,31.0,0.37,13.54
38,939.6,113.56000000000003,31.0,0.39,13.93
39,939.6,104.726,31.0,0.40,14.33
40,939.6,103.82199999999999,31.0,0.40,14.73
41,939.6,116.26799999999994,32.0,0.41,15.14
42,939.6,100.14599999999994,31.0,0.40,15.54
43,939.6,107.97400000000003,31.0,0.40,15.94
44,939.6,105.65199999999997,31.0,0.39,16.33
45,939.6,98.044,31.0,0.37,16.70
46,939.6,108.77800000000005,31.0,0.46,17.16
47,939.6,100.16199999999999,31.0,0.41,17.57
48,939.6,96.90000000000002,32.5,0.41,17.98
49,939.6,103.608,31.0,0.41,18.39
