generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,90.3,42.674000000000014,31.0,0.28,0.28
1,90.3,42.21800000000001,31.0,0.29,0.57
2,90.3,43.982,31.0,0.30,0.87
3,185.8,46.512,31.0,0.30,1.17
4,191.8,44.25999999999999,31.0,0.28,1.45
5,191.8,47.59399999999999,31.0,0.29,1.74
6,191.8,48.022,31.0,0.29,2.04
7,196.9,52.30599999999998,31.0,0.30,2.34
8,196.9,48.63200000000002,31.0,0.31,2.65
9,196.9,51.72200000000001,31.0,0.31,2.96
10,196.9,52.842000000000006,31.0,0.33,3.29
11,196.9,53.982,31.0,0.33,3.62
12,830.3,64.342,31.0,0.31,3.93
13,830.3,75.59199999999998,31.0,0.35,4.28
14,830.3,70.02200000000002,31.0,0.32,4.60
15,830.3,70.77,31.0,0.34,4.94
16,830.3,75.592,31.0,0.35,5.29
17,830.3,70.14399999999999,31.0,0.36,5.65
18,830.3,75.67800000000003,31.0,0.38,6.03
19,830.3,75.896,31.0,0.38,6.41
20,830.3,82.266,31.0,0.38,6.79
21,830.3,82.80000000000001,31.0,0.39,7.18
22,830.3,90.69999999999999,31.0,0.40,7.58
23,830.3,89.15399999999998,31.0,0.41,7.99
24,830.3,80.84199999999998,31.0,0.38,8.37
25,830.3,87.096,31.0,0.38,8.75
26,830.3,79.73400000000001,31.0,0.38,9.13
27,830.3,84.02600000000002,33.1,0.40,9.53
28,830.3,88.79600000000002,31.0,0.44,9.97
29,830.3,95.862,31.0,0.45,10.41
30,830.3,88.91000000000003,33.3,0.43,10.85
31,830.3,102.40399999999995,31.0,0.44,11.29
32,830.3,90.18999999999998,33.7,0.43,11.72
33,830.3,113.09199999999997,31.0,0.43,12.15
34,830.3,120.00399999999999,32.0,0.48,12.63
35,830.3,112.92800000000003,31.0,0.47,13.10
36,830.3,121.12800000000001,31.0,0.50,13.60
37,830.3,114.64799999999997,31.0,0.48,14.08
38,830.3,108.252,31.0,0.48,14.56
39,830.3,130.48399999999998,31.0,0.52,15.08
40,830.3,119.87199999999999,34.3,0.52,15.59
41,830.3,124.11400000000003,39.1,0.52,16.12
42,830.3,121.21600000000004,37.6,0.52,16.64
43,830.3,115.486,35.2,0.52,17.16
44,830.3,115.65800000000004,31.0,0.50,17.66
45,830.3,115.824,33.4,0.47,18.13
46,830.3,110.67800000000001,34.8,0.51,18.63
47,830.3,108.38400000000001,32.0,0.47,19.11
48,830.3,117.288,31.0,0.47,19.57
49,830.3,123.42000000000002,31.0,0.51,20.09
