generation,best_fitness,avg_fitness,min_fitness,gen_time_sec,total_time_sec
0,80.8,39.84,31.0,0.26,0.26
1,83.0,42.333999999999996,31.0,0.29,0.55
2,84.0,47.09599999999998,31.0,0.31,0.86
3,193.8,45.81399999999999,31.0,0.29,1.16
4,193.8,46.79,31.0,0.33,1.48
5,193.8,47.102000000000004,31.0,0.29,1.77
6,193.8,49.176,31.0,0.31,2.08
7,193.8,47.242000000000004,31.0,0.30,2.37
8,193.8,45.756,31.0,0.28,2.66
9,193.8,48.034,31.0,0.29,2.95
10,193.8,50.77000000000001,31.0,0.30,3.25
11,198.7,52.79599999999999,31.0,0.31,3.56
12,198.7,51.356,31.0,0.31,3.87
13,509.5,57.33999999999999,31.0,0.31,4.18
14,509.5,60.96199999999998,31.0,0.34,4.51
15,509.5,71.68799999999999,31.0,0.36,4.87
16,509.5,66.34599999999998,31.0,0.36,5.23
17,509.5,76.766,31.0,0.36,5.59
18,509.5,72.164,31.0,0.35,5.94
19,509.5,68.98400000000001,31.0,0.35,6.29
20,509.5,63.06799999999998,31.0,0.33,6.62
21,509.5,70.34400000000002,31.0,0.35,6.97
22,509.5,63.94800000000002,31.0,0.33,7.30
23,509.5,64.1,31.0,0.33,7.63
24,509.5,67.91999999999999,31.0,0.37,8.00
25,509.5,76.234,31.0,0.41,8.41
26,509.5,85.34800000000001,31.0,0.39,8.81
27,509.5,75.18,31.0,0.40,9.20
28,509.5,93.79200000000003,31.0,0.42,9.62
29,509.5,74.096,31.0,0.38,10.00
30,509.5,77.594,31.0,0.41,10.42
31,509.5,89.79,31.0,0.42,10.84
32,509.9,92.69999999999999,31.0,0.42,11.25
33,612.0,127.56400000000002,31.0,0.45,11.70
34,612.0,94.09200000000003,31.0,0.45,12.15
35,612.0,104.058,31.0,0.43,12.58
36,612.0,102.602,33.4,0.45,13.02
37,612.0,113.68,31.0,0.48,13.50
38,612.0,111.36000000000001,31.0,0.49,13.99
39,612.0,124.736,31.0,0.51,14.50
40,824.9,137.12599999999998,31.0,0.54,15.04
41,824.9,109.96,31.0,0.49,15.53
42,824.9,136.732,31.0,0.51,16.04
43,824.9,119.43200000000003,33.0,0.49,16.53
44,824.9,122.07800000000003,31.0,0.49,17.02
45,824.9,116.85400000000001,32.0,0.50,17.52
46,824.9,110.45800000000001,31.0,0.48,17.99
47,824.9,130.78000000000006,31.0,0.48,18.47
48,824.9,128.64200000000002,31.0,0.48,18.95
49,824.9,118.59399999999997,31.0,0.49,19.44
